"Južna Afrika - Kanada","2","",""
"Brazil - Japan","1","",""
"Njemačka - Paragvaj","1","",""
"Nizozemska - Maroko","2","",""
"Obala Bjelokosti - Norveška","2","",""
"Francuska - Švedska","1","",""
"Meksiko - Ekvador","1","",""
"Engleska - Kongo","1","",""
"Belgija - Senegal","1","",""
"SAD - Bosna","2","",""
"Španjolska - Austrija","1","",""
"Portugal - Hrvatska","1","",""
"Švicarska - Alžir","1","",""
"Australija - Egipat","1","",""
"Argentina - Zelenortska Republika","1","",""
"Kolumbija - Ghana","1","",""
